	id	title	original_air_date	production_code	season	number_in_season	number_in_series	us_viewers_in_millions	views	imdb_rating	imdb_votes	image_url	video_url
282	142	Scenes from the Class Struggle in Springfield	1996-02-04	3F11	7	14	142	14.4	58572.0	7.7	962.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/717/799/Simpsons_07_13.jpg	http://www.simpsonsworld.com/video/305694276001
283	119	Bart vs. Australia	1995-02-19	2F13	6	16	119	15.1	80724.0	8.5	1353.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/831/691/Simpsons_06_15.jpg	http://www.simpsonsworld.com/video/275748931680
284	135	King-Size Homer	1995-11-05	3F05	7	7	135	17.0	81426.0	9.0	1633.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/555/447/Simpsons_07_07.jpg	http://www.simpsonsworld.com/video/294786627843
285	103	Secrets of a Successful Marriage	1994-05-19	1F20	5	22	103	15.6	67959.0	8.0	1060.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/522/803/Simpsons_05_21__042261.jpg	http://www.simpsonsworld.com/video/279720003973
286	105	Lisa's Rival	1994-09-11	1F17	6	2	105	16.7	54225.0	8.1	1156.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/678/635/Lisas_Rival.jpg	http://www.simpsonsworld.com/video/278809667691
287	121	A Star Is Burns	1995-03-05	2F31	6	18	121	14.4	71936.0	8.5	1223.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/273/474/Simpsons_06_23__719260.jpg	http://www.simpsonsworld.com/video/283753539580
288	122	Lisa's Wedding	1995-03-19	2F15	6	19	122	14.4	74266.0	8.3	1190.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/834/118/Simpsons_06_17.jpg	http://www.simpsonsworld.com/video/275751491511
289	106	Another Simpsons Clip Show	1994-09-25	2F33	6	3	106	13.5	42576.0	6.0	1051.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/268/379/Simpsons_06_25.jpg	http://www.simpsonsworld.com/video/300928067775
290	133	Lisa the Vegetarian	1995-10-15	3F03	7	5	133	14.6	69245.0	8.5	1288.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/981/1015/Simpsons_07_05.jpg	http://www.simpsonsworld.com/video/276980291592
291	124	The PTA Disbands	1995-04-16	2F19	6	21	124	11.8	74788.0	8.1	1004.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/550/67/Simpsons_06_20.jpg	http://www.simpsonsworld.com/video/294780995610
292	108	Sideshow Bob Roberts	1994-10-09	2F02	6	5	108	14.4	76932.0	8.3	1142.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/813/622/Simpsons_06_04.jpg	http://www.simpsonsworld.com/video/275729987504
293	110	Bart's Girlfriend	1994-11-06	2F04	6	7	110	15.3	62450.0	8.0	1150.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/827/287/Simpsons_06_06.jpg	http://www.simpsonsworld.com/video/275744323759
294	129	Who Shot Mr. Burns? (Part Two)	1995-09-17	2F20	7	1	129	16.0	67579.0	8.9	1497.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/713/395/Simpsons_07_02.jpg	http://www.simpsonsworld.com/video/305689667892
