"lon","lat","city","city_state"
-118.6089752,34.165357,"WOODLAND HILLS","WOODLAND HILLS, CA"
-120.798546,38.7296252,"PLACERVILLE","PLACERVILLE, CA"
-117.6126004,33.4273521,"SAN CLEMENTE","SAN CLEMENTE, CA"
-118.6021321,34.0919452,"TOPANGA","TOPANGA, CA"
-118.4422317,33.9564194,"PLAYA DEL REY","PLAYA DEL REY, CA"
-120.8499924,35.3659445,"MORRO BAY","MORRO BAY, CA"
-118.2351192,34.228754,"LA CRESCENTA","LA CRESCENTA, CA"
-120.9968782,37.6390972,"MODESTO","MODESTO, CA"
-120.6166077,39.7810095,"BLAIRSDEN","BLAIRSDEN, CA"
-121.4943996,38.5815719,"SACRAMENTO","SACRAMENTO, CA"
-121.6543901,37.1305012,"MORGAN HILL","MORGAN HILL, CA"
-117.3794834,33.1958696,"OCEANSIDE","OCEANSIDE, CA"
-119.0592705,34.3541659,"SANTA PAULA","SANTA PAULA, CA"
-121.8863286,37.3382082,"SAN JOSE","SAN JOSE, CA"
-118.1164613,34.5794343,"PALMDALE","PALMDALE, CA"
-121.9999606,37.8215929,"DANVILLE","DANVILLE, CA"
-122.2416355,37.7652065,"ALAMEDA","ALAMEDA, CA"
-117.6483876,34.09751,"UPLAND","UPLAND, CA"
-121.7568946,36.910231,"WATSONVILLE","WATSONVILLE, CA"
-117.9242123,33.8703645,"FULLERTON","FULLERTON, CA"
-118.781482,34.2694474,"SIMI VALLEY","SIMI VALLEY, CA"
-118.5506158,34.2822134,"PORTER RANCH","PORTER RANCH, CA"
-118.1445155,34.1477849,"PASADENA","PASADENA, CA"
-117.2897652,34.1083449,"SAN BERNARDINO","SAN BERNARDINO, CA"
-122.1180201,37.8857582,"LAFAYETTE","LAFAYETTE, CA"
-122.4110835,37.6304904,"SAN BRUNO","SAN BRUNO, CA"
-117.3961564,33.9533487,"RIVERSIDE","RIVERSIDE, CA"
-122.2802471,37.9104805,"KENSINGTON","KENSINGTON, CA"
-122.0230146,37.2638324,"SARATOGA","SARATOGA, CA"
-120.1832533,39.327962,"TRUCKEE","TRUCKEE, CA"
-118.3082747,34.2596475,"TUJUNGA","TUJUNGA, CA"
-117.6861023,33.6469437,"LAKE FOREST","LAKE FOREST, CA"
-122.0838511,37.3860517,"MOUNTAIN VIEW","MOUNTAIN VIEW, CA"
-117.3272615,33.6680772,"LAKE ELSINORE","LAKE ELSINORE, CA"
-116.9625269,32.7947731,"EL CAJON","EL CAJON, CA"
-121.6002291,37.9085357,"DISCOVERY BAY","DISCOVERY BAY, CA"
-117.1825381,34.0555693,"REDLANDS","REDLANDS, CA"
-122.0651819,37.9100783,"WALNUT CREEK","WALNUT CREEK, CA"
-117.3008784,34.4263886,"HESPERIA","HESPERIA, CA"
-116.9739167,32.8383828,"SANTEE","SANTEE, CA"
-118.4489739,35.1321877,"TEHACHAPI","TEHACHAPI, CA"
-118.3964665,34.0211224,"CULVER CITY","CULVER CITY, CA"
-122.0807964,37.6688205,"HAYWARD","HAYWARD, CA"
-118.1047682,33.7414085,"SEAL BEACH","SEAL BEACH, CA"
-117.2927641,34.5362184,"VICTORVILLE","VICTORVILLE, CA"
-121.2880059,38.7521235,"ROSEVILLE","ROSEVILLE, CA"
-121.6957863,37.931868,"BRENTWOOD","BRENTWOOD, CA"
-116.3130661,34.134728,"JOSHUA TREE","JOSHUA TREE, CA"
-118.3617443,34.0900091,"WEST HOLLYWOOD","WEST HOLLYWOOD, CA"
-118.5506158,34.1494848,"TARZANA","TARZANA, CA"
-120.6545022,35.6368759,"PASO ROBLES","PASO ROBLES, CA"
-117.602832,33.640171,"RANCHO SANTA MARGARITA","RANCHO SANTA MARGARITA, CA"
-118.3812562,34.187044,"NORTH HOLLYWOOD","NORTH HOLLYWOOD, CA"
-116.41279,33.739744,"RANCHO MIRAGE","RANCHO MIRAGE, CA"
-117.7197785,34.0966764,"CLAREMONT","CLAREMONT, CA"
-118.1937395,33.7700504,"LONG BEACH","LONG BEACH, CA"
-122.9477131,38.4076501,"OCCIDENTAL","OCCIDENTAL, CA"
-121.8021647,36.938468,"FREEDOM","FREEDOM, CA"
-117.9298493,33.6188829,"NEWPORT BEACH","NEWPORT BEACH, CA"
-121.9708017,38.5249065,"WINTERS","WINTERS, CA"
-117.1483648,33.4936391,"TEMECULA","TEMECULA, CA"
-124.0828396,40.8665166,"ARCATA","ARCATA, CA"
-118.5155901,34.0356331,"PACIFIC PALISADES","PACIFIC PALISADES, CA"
-121.0610606,39.2190608,"GRASS VALLEY","GRASS VALLEY, CA"
-118.0019482,34.1442616,"MONROVIA","MONROVIA, CA"
-120.9471764,39.9368363,"QUINCY","QUINCY, CA"
-119.9771868,38.939926,"SOUTH LAKE TAHOE","SOUTH LAKE TAHOE, CA"
-117.3505939,33.1580933,"CARLSBAD","CARLSBAD, CA"
